source_genesymbol	target_genesymbol	sign
GJB2	GJB6	1
MAPK14	TIAL1	-1
PARN	GADD45A	1
NUMB	NOTCH1	1
TIAL1	GADD45A	-1
ZIC1	ATOH1	-1
MAPK14	ZFP36	1
HES5	ATOH1	-1
ATOH1	HES5	1
MAPKAPK2	ZFP36	1
ZFP36	TNF	-1
CREB1	IL2	1
NOTCH1	JAG2	-1
JAG2	NOTCH1	1
DLL1	NOTCH1	1
NOTCH1	DLL1	1
SIX1	LFNG	1
CREB1	IL10	1
CREB1	IL6	1
SIX1	OTX2	1
SIX1	HMX3	1
SIX1	DLX5	-1
SIX1	OTX1	1
PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3	CRTC2	-1
CREB1	MIF	1
SIX1	DACH1	1
SIX1	DACH2	-1
CREB1	TNF	1
MYO7A	PCDH15	1
PCDH15	MYO7A	1
CREB1	PTGS2	1
GABPA	TXNRD1	1
GABPA	TXN	1
CREB1	AICDA	1
MAPK3	GABPA	1
MAPK1	GABPA	1
TUB	MAPK1	1
TUB	MAPK3	1
MIR17HG	BCL2L11	-1
PROX1	GFI1	-1
GFI1	CDKN1C	1
KEAP1	GABPA	-1
PROX1	ATOH1	-1
GATA3	FGF10	1
IGF2BP1	BTRC	1
PAX3	DACH2	1
DACH2	PAX3	1
NFAT5	AKR1B1	1
FOXI1	PAX8	1
FGF3	FOXI1	1
CREB1	BACH2	1
NFAT5	SLC6A12	1
AKT1	CHUK	1
NFAT5	SLC5A3	1
CHUK	NFKB1	1
PIK3R1	AKT1	1
CDC73	CPSF3	1
CREB1	CDK6	1
SYMPK	CSTF1	1
CDK1	RRM2	1
CASP3	ACIN1	1
CDKN1A	CDK1	-1
TP53	PRC1	-1
TP53	ATF3	1
ATF3	TP53	-1
ATM	TERF2	1
TERF2	ATM	-1
MYCN	MCM6	1
MDM2	RRM2B	-1
ATR	XPA	1
CSNK2A1_CSNK2B	H4C6	-1
MYCN	MCM4	1
MYCN	MCM5	1
MYCN	MCM2	1
MYCN	MCM3	1
E2F1	CDCA4	1
CDCA4	E2F1	-1
KLF2	CXCR4	-1
IGF1	IGF1R	1
CCL2	MMP14	1
MMP14	MMP2	1
ATF2_JUN	SELE	1
ABL1	TP73	1
ABL1	PRKDC	-1
PRKDC	ABL1	1
MYCN	MCM7	1
BTRC_CUL1_SKP1	PER2	-1
MYCN	MCM8	1
BTRC_CUL1_SKP1	PER1	-1
BMAL1	CRY2	1
CRY2	BMAL1	-1
BMAL1	CRY1	1
CRY1	BMAL1	-1
NPAS2	PER2	1
NPAS2	PER1	1
ATAD2	ESR1	1
ATAD2	E2F1	1
USP28	CLSPN	1
PRKN	CCNE1	1
PCNA	POLI	1
PRKN	SEPTIN5	1
PCNA	POLH	1
MYCN	TP53	1
ATAD2	MYC	1
ATAD2	AR	1
USP7	MDM2	1
USP7	MDM4	1
RELA	PTEN	-1
RBL1	E2F4	1
RBL2	E2F5	1
RBL2	E2F4	1
MDC1	TP53BP1	1
RNF8	H2AC20	1
H2AX_MDC1	RNF8	1
MDC1	RNF8	1
PRKN	RANBP2	-1
H2AX_MDC1	NBN	1
PRKN	PUF60	-1
PRKDC_XRCC6	XRCC4	1
PRKN	SNCAIP	1
DCLRE1C	XRCC4	1
PRKN	CTNNB1	1
PRKN	JUN	-1
PRKN	HSPA1B	-1
PRKN	ATXN2	-1
BACE2	APP	1
PRKN	SNCA	1
BACE1	APP	1
XRCC4	PNKP	1
TP53BP1	HDAC4	1
ADAM17	APP	1
ADAM10	APP	1
ADAM9	APP	1
PTEN	PREX2	-1
PREX2	PTEN	-1
PINK1	TRAP1	1
PARK7	HTRA2	1
PTPRD	STAT3	-1
PRKN	PINK1	1
PINK1	PRKN	1
CSNK2A1_CSNK2B	MYC	1
MAX_MYC_ZMIZ1	CDKN1A	-1
XRCC1	PNKP	1
PRKCA	VCL	1
VCL	PRKCA	1
PEBP1	RAF1	1
PIN1	BRAF	1
USP28	FBXW7	-1
CDK2	MYC	1
HBP1	MYC	-1
RPL11	TRRAP	-1
TRRAP	MYC	1
MYC	JAG2	1
FBXW7	MYC	1
PTPN12	PIN1	1
PIN1	PTPN12	1
PDPK1	PAK1	1
PAK1	PDPK1	1
PAK1	PXN	1
CASP3	PRKDC	1
PAK1	FLNA	1
CASP3	PAK2	1
CASP3	GSN	1
PTPN12	PTK2	-1
XRCC5_XRCC6	PRKDC	1
FLNA	SPHK1	1
SMG1	UPF1	1
XRCC5_XRCC6	NHEJ1	1
ABI1_EPS8_SOS1	RAC1	1
ATM	USP28	1
MAP2K4	MAPK8	1
MAP3K7	MAP2K4	1
PIK3R1	RAC1	1
PIK3R2	RAC1	1
ATG13	ULK1	1
ULK1	ATG13	1
ULK1	RB1CC1	1
RB1CC1	ULK1	1
MTOR	ATG13	-1
UVRAG	SH3GLB1	1
SH3GLB1	UVRAG	1
ATG13	RB1CC1	1
MTOR	ULK2	-1
BECN1	PIK3R4	1
RAC1	TIAM1	1
TIAM1	RAC1	1
HRAS	TIAM1	1
TIAM1	HRAS	1
ATG10	ATG12	1
MTOR	RPTOR	1
RPTOR	MTOR	1
AKT1	AKT1S1	-1
DAPK1	CAMKK2	-1
MLST8	MTOR	1
DAPK1	MAPK6	-1
UVRAG	PIK3R4	1
ATG13	ULK2	1
ULK2	ATG13	1
UVRAG	BECN1	1
BCL2L1	BECN1	1
AKT1S1	RPTOR	-1
MTOR	AKT1S1	-1
AKT1S1	MTOR	-1
ULK2	RB1CC1	1
RB1CC1	ULK2	1
AKT1	S1PR1	1
MCL1	BAD	1
ATG10	ATG5	1
ATG12_ATG5	ATG3	1
ATG7	ATG3	1
HRAS	PLCE1	1
PLCE1	HRAS	1
MAPK14	MAPKAPK5	1
MAPKAPK5	TP53	1
ATG5	ATG16L1	1
TP53	MCL1	1
MIR17HG	MAP3K12	-1
BNIP3	BCL2	-1
BNIP3	BCL2L1	-1
SPNS1	BCL2	-1
SPNS1	BCL2L1	-1
ATG4B	MAP1LC3B	1
CALM1	DAPK1	1
DAPK1	MCM3	1
SH3GLB1	PIK3C3	1
ATM	DCK	1
CAPN1	BCL2	-1
CAPN2	BCL2	-1
CAPN1	BCL2L1	-1
CAPN2	BID	1
CAPN1	BID	1
CASP3	EIF4EBP1	-1
CASP3	SPTAN1	1
CASP3	EIF4G1	1
CASP3	BCAR1	1
CASP3	EIF4G2	1
CASP3	EIF4G3	1
CASP3	BCL2	-1
CASP2	CYCS	1
CASP2	DIABLO	1
CASP6	NUMA1	1
CASP6	VIM	1
CAPN2	BCL2L1	-1
CASP2	AIFM1	1
CASP2	RIPK1	1
CASP10	RIPK1	-1
CASP10	BID	1
TOPBP1	ATR	1
E2F2	CDK1	1
MIR17HG	VIM	-1
MIR17HG	MEF2D	-1
SMAD4	MIR155HG	1
MIR155HG	RHOA	-1
SGK1	KCNQ4	1
POU4F3	BDNF	1
ATOH1	POU4F3	1
POU4F3	GFI1	1
MYO15A	WHRN	1
SOX2	ATOH1	1
ATOH1	BARHL1	1
ADGRV1	ADCY6	-1
ID3	ATOH1	-1
ID2	ATOH1	-1
NOTCH1	PAX8	1
ID1	ATOH1	-1
KCNE1	KCNQ4	1
NOTCH1	FOXI2	-1
WNT1	FOXI2	-1
E2F1	BRCA1	1
RAD18_UBE2A	PCNA	1
TIRAP	MYD88	1
SIX1	PAX2	1
SIX1	EYA1	-1
FOXI1	SIX1	1
OTUB2	TRAF6	-1
PDPK1	PRKCG	1
PDK1	PRKCG	1
OTUD5	TRAF3	-1
OTUB1	TRAF3	-1
JAG1	CDKN1B	1
CDK5	RALB	1
E2F1	EZH2	1
RASSF1	MST1	1
RASSF1	CCND1	-1
E2F3	CDK1	1
E2F2	CCNB1	1
WNT1	JAG1	1
WNT1	NOTCH1	1
NOTCH1	WNT1	1
NOTCH1	ATOH1	-1
WNT1	DLX5	1
POU4F3	NTF3	1
NOTCH1	HES5	1
NOTCH1	SOX2	1
NOTCH1	BMP4	1
RALA	RALBP1	1
MYC	NME1	1
RALB	RALBP1	1
RALGDS	RALA	1
RALBP1	CDC42	1
RALBP1	RAC1	1
WNT1	GBX2	1
WNT1	PAX2	1
WNT1	PAX8	1
WNT1	HES1	1
NOTCH1	JAG1	1
JAG1	NOTCH1	1
NOTCH1	HES1	1
WNT1	SOX9	1
KIT	GRB2	1
SIX1	BMP4	1
SIX1	FGF10	1
SIX1	FGF3	1
EYA1	FGF3	1
KCNQ4	SLC26A5	1
PRKACG	KCNQ4	1
SIX1	GATA3	1
IKBKE	IRF7	1
ERBB2	GRB2	1
E2F7	E2F8	1
E2F1	PCNA	1
AKT2	CDKN1A	1
AKT1	CDKN1B	1
KRAS	RAF1	1
TGFA	ERBB2	1
VDR	CASP3	1
RAD18	RAD51C	1
PRKCG	RAF1	1
SIRT6	RBBP8	1
USP1	PCNA	1
RHOA	PLD1	1
PLD1	RHOA	1
MAPK7	MYC	1
FLT3	GRB2	1
PLA2G6	PTGS1	1
PLA2G6	PTGS2	1
SFRP2	WNT4	-1
SFRP1	WNT4	1
SFRP2	WNT1	-1
MAB21L1	FOXE3	1
PAX6	CDH2	1
PAX6	SHROOM3	1
SFRP1	WNT2	-1
SFRP1	WNT1	1
PKNOX1	PAX6	1
PAX6	SFRP2	1
PAX6	SFRP1	1
PAX6	FN1	1
PAX6	MAB21L1	1
CTTN	WASL	1
CASP3	BIRC2	-1
BIRC2	CASP3	-1
CASP2	BID	1
CASP3	CASP2	1
BBC3	MCL1	-1
MCL1	BAK1	-1
CASP9	BIRC6	-1
BIRC6	CASP9	-1
PMAIP1	GMCL1	-1
BCL2L11	MCL1	-1
ACTR2_ACTR3_ARPC1A_ARPC1B_ARPC2_ARPC3_ARPC4_ARPC5_ARPC5L	CDH1	1
CDH1	ARPC1B	1
MTOR	ULK1	-1
RHEB	MTOR	1
TSC2	RHEB	1
TSC2	TSC1	1
TSC1	TSC2	1
PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3	TSC2	1
ATG7	MAP1LC3B	1
RHOA	DIAPH1	1
WASL	ARPC1B	1
CDC42	WASL	1
GRB2	WASL	1
MET	CTTN	1
AKT1	TSC2	-1
PMAIP1	MCL1	-1
RET	SHC1	1
NTRK1	SHC1	1
RHOA	ROCK2	1
RET	GRB2	1
ATG7	ATG10	1
ATG7	ATG12	1
ATG12	ATG5	1
ATG12_ATG5	ATG16L1	1
ATG12_ATG5	MAP1LC3B	1
MAP1LC3B	ATG3	1
ATG3	MAP1LC3B	1
CAMKK2	PRKAG1	1
NKX3-1	HDAC1	-1
AR	NKX3-1	1
NKX3-1	AR	-1
FOXO1	CDKN1A	1
FOXO1	NOXA1	1
RAF1	STK3	-1
ATG101_ATG13_RB1CC1_ULK1_ULK2	PIK3C3	1
E2F6	RBBP8	-1
CASP3	NUMA1	1
BCL2L2	BIK	-1
DYNLL1	BCL2L11	-1
CFLAR	CASP10	-1
CASP7	VIM	1
CASP7	TNFRSF1A	1
CASP7	ITGB4	1
CASP3	VIM	1
CASP3	CASP8	1
CASP8	CASP3	1
CASP3	CASP10	1
CASP10	CASP3	1
CASP3	PXN	-1
PPP1CA	BAD	1
CASP3	PTK2	-1
BCL2L11	BCL2A1	-1
BCL2L1	APAF1	1
BCL2L11	VDAC1	1
BCL2L1	VDAC1	-1
BAK1	VDAC1	1
BAX	VDAC1	1
TP53	DAPK1	1
DAPK1	TP53	1
DAPK3	RPL13A	1
CDKN2A	BCL2L1	-1
SMAD2	DAPK1	1
UNC5B	PPP2R3B	1
RHEB	MLST8	1
ATG101	ATG13	1
PMAIP1	BAX	1
PRKCI	BAD	-1
MAPK8	BCL2	1
DAPK1	PRKD1	1
MIB1	DAPK1	-1
DAPK1	BECN1	1
DAPK1	STX1A	-1
DAPK1	RPS6	-1
MIR22HG	MAX	-1
BBC3	BCL2A1	-1
BBC3	BAX	1
HRK	BCL2L1	-1
HRK	BCL2	-1
RHEB	FKBP8	-1
FKBP8	MTOR	-1
PMAIP1	BCL2A1	-1
PRKCZ	FADD	1
PIDD1	CASP2	1
PIDD1	IKBKG	1
MIR17HG	JAK1	-1
RPS6KA3	RPTOR	1
PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3	RPTOR	-1
FAS	CASP8AP2	1
RPS6KA1	RPTOR	1
CASP8	CASP8AP2	1
CASP8AP2	CASP8	1
MAP2K1	MAPK3	1
MAPK3	RPS6KA3	1
MAPK1	RPS6KA1	1
DAPK3	MYL9	1
MAPK1	RPS6KA3	1
MAPK1	DAPK1	1
DAPK1	MAPK1	-1
SRC	DAPK1	-1
PTPRF	DAPK1	1
PPP2CA_PPP2R5A_PTPA	DAPK1	1
DAPK1	DAPK3	1
DAPK1	TSC2	1
MAPK3	DAPK1	1
DAPK1	MAPK3	-1
HSP90AA1	DAPK1	1
NEO1	DAPK1	1
RRAS	RAF1	1
UNC5B	DAPK1	1
RPS6KA1	DAPK1	-1
RPS6KA3	DAPK1	-1
RAF1	MAP2K1	1
MAP2K1	RAF1	1
GSN	ACTG1	1
DAPK3	NR3C1	1
RPL13A	DAPK3	-1
DAPK3	PPP1R14A	1
DAPK3	PPP1R12A	-1
CTNNB1	DAPK2	-1
DAPK3	AR	1
ROCK1	DAPK3	1
PPP1R14A	PPP1CA	-1
RPL13A	DAPK1	-1
DAPK1	TLN1	-1
TLN1	ITGB1	1
DAPK1	ITGA3	-1
DAPK1	CDKN2A	1
SMAD4	DAPK1	1
SMAD3	DAPK1	1
CDC42	MAP3K4	1
RAC1	MAP3K1	1
STAT3	WNT5A	1
RAC1	MAP3K4	1
ATM	MDC1	1
MDC1	ATM	1
SP1	WNT5A	1
TP53	AIFM2	1
TP53	ANLN	-1
TP53	ABCB1	1
TP53	ACTA2	1
TP53	ARID3A	1
TP53	ADGRB1	1
TP53	APC	1
NFYA_NFYB_NFYC	DDIT3	1
NFYA_NFYB_NFYC	CALR	1
NFYA_NFYB_NFYC	HERPUD1	1
ELAVL1	SIRT1	1
CHEK2	ELAVL1	1
MIR155HG	SPI1	-1
E2F3	CCNB1	1
CHEK1	WEE1	1
E2F1	EED	1
WNT5A	FZD2	1
NFYA_NFYB_NFYC	GADD45A	1
NFYA_NFYB_NFYC	TIMP2	1
NFYA_NFYB_NFYC	CDC25B	1
NFYA_NFYB_NFYC	CCNA2	1
NFYA_NFYB_NFYC	CDC25A	1
NFYA_NFYB_NFYC	PCNA	1
NFYA_NFYB_NFYC	PDGFRB	1
NFYA_NFYB_NFYC	PLK1	1
MIR17HG	CDKN1A	-1
BMAL1_CLOCK	XPA	1
PUF60	MYC	-1
PUF60	FUBP1	-1
CCNH_CDK7_MNAT1	THRA	1
AKT1	CDKN1A	1
CDK7	ETS1	1
FUBP1	MYC	1
E2F1	CDKN1A	1
CCNH_CDK7_MNAT1	CDK7	1
FBXL17	CRY2	-1
MECP2	PER1	1
MECP2	PER2	1
E2F3	CDKN2A	1
PAIP2	PER1	-1
BTG2	PER1	-1
BTG3	PER2	-1
PAIP2	PER2	-1
E2F4	CLSPN	-1
E2F2	CDKN2A	1
CDK1	BRCA1	1
E2F1	CDT1	1
E2F1	CDKN2A	1
CDKN2A	E2F1	-1
CUL1_FBXL3_SKP1	CRY1	-1
CUL1_FBXL3_SKP1	CRY2	-1
E2F2	PCNA	1
E2F6	BRCA1	-1
CCNB1_CDK1	BRCA1	1
E2F6	CBX5	-1
UBE2T	FANCL	1
FANCL	UBE2T	-1
UBE2T	FANCI	1
TP53	DNMT1	-1
SUMO1	PML	1
UBE2T	FANCD2	1
CSNK2A1_CSNK2B	PML	-1
TP53	EGFR	1
MAPKAPK2	CDC25A	-1
TP53	EPHA2	1
CHEK1	CDC25B	-1
TP53	EDN2	1
MAPKAPK2	CDC25C	-1
TP53	EEF1A1	1
MAPKAPK2	CDC25B	-1
TP53	HTT	1
TP53	GPX1	1
TP53	GML	1
TP53	FANCC	1
TP53	HGF	1
ATM	SLX4	1
STAT1	FAS	1
STAT1	CDKN1A	1
NFE2L2	PRDX1	1
ATM	BID	1
KDM2B	PRDX4	1
KDM2B	NQO1	1
ATR	RBBP8	1
RBBP8	ATR	1
ATR	FANCI	1
E2F1	APAF1	1
CDK1	E2F1	1
E2F1	CDK1	1
E2F2	EED	1
MTOR	EIF4EBP3	1
MTOR	EIF4EBP2	1
TSC1_TSC2	RHEB	-1
MAPKAPK2	TSC1	-1
TP53	BDKRB2	1
TP53	BID	1
MAP3K8	MAP3K14	1
IKBKB	TSC1	-1
TP53	BCL2L14	1
MAP3K8	MAP2K4	1
RICTOR	AKT1	1
EIF4EBP2	EIF4E	-1
EIF4EBP1	EIF4E	1
MTOR	EIF4EBP1	1
EIF4EBP3	EIF4E	1
TP53	CCNK	1
BCL10	IKBKG	1
IKBKG	BCL10	1
TP53	CASP6	1
TP53	CASP10	1
TP53	CASP1	1
MAP3K14	IKBKB	1
TP53	RGCC	1
TP53	BNIP3L	1
TNFAIP3	IKBKB	-1
TP53	BIRC5	-1
TNIP1	IKBKG	1
MYC_ZBTB17	CDKN1A	-1
E2F2	EZH2	1
E2F4	CDT1	1
E2F1	DBF4	1
E2F1	CCNA2	1
ATM	NFAT5	1
IL22	IL10RB	1
TP53	CD82	1
EPO	EPOR	1
TP53	CDC25C	-1
MAPKAPK2	TSC2	1
TP53	CHMP4C	1
TP53	COL18A1	1
IL6R_IL6ST	JAK1	1
IL6R_IL6ST	JAK2	1
JAK2	STAT3	1
EPO_EPOR	JAK2	1
TP53	DKK1	1
TP53	DDR1	1
KSR2	MAP3K8	-1
CHEK2	TP53	1
NFKB1	MAP3K8	-1
TP53	CTSD	1
ATM	STK11	1
TP53	CRYZ	-1
TP53	DDIT4	1
HIPK2	TP53	1
TP53	CX3CL1	1
ATM	HIPK2	1
ATM	PPP2R5D	1
CHUK_IKBKB_IKBKG	NFKB1	1
ATM	PPP2R5C	1
DACT2	ACVR1B	-1
CASP1	GAPDH	-1
CXCL16	CXCR6	1
CASP1	IL37	1
CASP1	CASP7	1
IL12B_IL23A	IL12RB1	1
GTF2I	CCND1	1
KLKB1	PRKAG1	1
CASP1	IL33	1
CCL3L1	CCR5	1
ASF1A	CHAF1B	1
TNFRSF10C	TNFSF10	-1
TNFSF10	TNFRSF10C	1
MAP3K7	IKBKB	1
STK11	PRKAG1	1
ASF1B	CHAF1B	1
TNFRSF10A	TNFRSF10B	1
CHAF1A_CHAF1B_RBBP4	ASF1A	1
CHAF1A_CHAF1B_RBBP4	ASF1B	1
KAT8	H4C6	1
PARP1	SUPT16H	1
TNFRSF10A	RIPK1	1
TNFRSF10B	RIPK1	1
NMI	STAT1	1
KRT18	TRADD	-1
MYC	PMAIP1	1
ATM	ABL1	1
TNFRSF10A	TRADD	1
TNFRSF10B	TRADD	1
CDC37_HSP90AA1	AKT1	1
TRAF2	BIRC2	1
BIRC2	TRAF2	-1
CDC37_HSP90AA1	CDK4	1
CDC37_HSP90AA1	RAF1	1
IRF1	ISG20	1
CDC37_HSP90AA1	IKBKG	1
CUL4A_DDB1_RBX1	DDB2	-1
CUL4A_DDB1_RBX1	H2AX	1
XPC	ATM	1
CUL4A_DDB1_RBX1	CDT1	-1
PRKDC	UPF1	1
STAT1	SOCS1	1
IL10	IL10RA	1
NLRP1	CASP5	1
CASP1_CASP5_NLRP1_PYCARD	CASP1	1
IL10RA_IL10RB	TYK2	1
CASP1	FGF2	1
IL10RA_IL10RB	JAK1	1
CASP1	PYCARD	-1
PYCARD	CASP1	1
CARD18	CASP1	-1
IRF1	NOS2	1
ISG15	JAK1	1
CASP1_CASP5_NLRP1_PYCARD	CASP5	1
CARD16	CASP1	-1
CSNK2A1_CSNK2B	CFAP100	1
JAK1	IRS1	1
IRS1	JAK1	1
CASP1	IL1A	1
JAK1	IRS2	1
CASP1	SREBF2	1
INSR	IRS2	1
CSNK2A1_CSNK2B	GYS1	-1
ATF2	MMP2	1
E2F1	TP53INP1	1
TP53	FDXR	1
STAT1	CDKN1B	1
CASP1	ENO1	-1
TRAF2	MAP3K14	1
MAP3K14	TRAF2	1
ABL1	STAT1	1
MAVS	IFIH1	-1
IFIH1	MAVS	1
DDB1_DDB2	XPC	1
TP53	TIGAR	1
CASP1	TPI1	-1
TP73	TP53INP1	1
NOD2	MAP3K14	1
PRKDC	CASP2	1
PRKDC	ATM	-1
ATM	PRKDC	1
ABL1	TOP1	1
PIDD1	PRKDC	1
STAT1	MYC	1
ANO9	STAT1	1
STAT1	IRF1	1
CASP1	ALDOA	-1
EIF2AK2	STAT1	1
TICAM1	RIPK1	1
TICAM1	TBK1	1
TICAM1	IKBKE	1
IFNG	IFNGR1	1
IFNAR1_IFNAR2	JAK1	1
RSF1	NFKB1	-1
IFNGR1_IFNGR2	JAK1	1
JAK1	IFNGR1_IFNGR2	1
IRF3	IFNB1	1
IRF7	IFNB1	1
ATF2_JUN	IFNB1	1
CLSPN	DDB2	1
IFNGR1_IFNGR2	JAK2	1
JAK2	IFNGR1_IFNGR2	1
IFNAR1_IFNAR2	TYK2	1
PPP2CA_PPP2R5A_PTPA	TP53	1
MDM2	PPP2R2D	-1
IRF3	IFIT1	1
MDM2	PPP2R2C	-1
IRF3	ISG15	1
IRF3	CCL5	1
PRKDC_XRCC6	NFKBIA	1
DAPK1	TPM1	1
CSNK2A1_CSNK2B	SMC3	1
MAP1B	DAPK1	1
DAPK1	MAP1B	1
ATM	SMC3	1
E2F1	DAPK2	1
EPO	DAPK2	1
DAPK3	CDKN1A	1
ZDHHC9	HRAS	1
ZDHHC9	NRAS	1
KLF6	DAPK2	1
IGF2	IGF2R	1
IGF2R	IGF2	1
FLT3LG	FLT3	1
KITLG	KIT	1
TAL1	NKX3-1	1
IGF2	IGF1R	1
ATM	STRAP	1
SMG1	TP53	1
CHEK2	STRAP	1
LRRK2	MAP2K3	1
LRRK2	MAP2K4	1
TLR4	TIRAP	1
KAT2B	H3C3	1
TLR1_TLR2	TIRAP	1
TLR4	TICAM2	1
TICAM2	TICAM1	1
TLR2_TLR6	TIRAP	1
TRAF6	MAP3K7	1
TICAM1	TRAF6	1
TRAF6	TICAM1	1
RCAN1	PPP3CA	-1
TLR3	TICAM1	1
MYD88	IRAK4	1
GSK3B	RCAN1	1
LRRK2	MAP2K7	1
LRRK2	MAP2K6	1
ATG14	BECN1	1
SIRT2	FOXO1	1
FOXO1	ATG7	1
RUBCN	BECN1	-1
PPP1CA_PPP1R12A_PPP1R12B	MYL12A	-1
CARD8	CASP9	-1
CARD8	APAF1	-1
SERPINB9	CASP1	-1
CASP1	CARD8	-1
CARD8	CASP1	-1
DAPK3	MYL12A	1
DAPK1	MYL12A	1
ROCK1	MYL12A	1
TP53	BCL2	-1
MTOR	DAP	1
CFLAR	ATG3	-1
DAPK3	MYL5	1
RPS6KA3	BAD	-1
CASP3	EIF2S2	-1
RPS6KB1	RPS6	1
DAPK1	BCL2	-1
CDK1	BIRC5	1
CASP3	EIF2S3	-1
TP53	TYRP1	1
GAPDH	RHEB	-1
TP53	UBD	-1
USP3	H2AZ1	1
TP53	VCAN	1
TP53	VDR	1
TP53	TRIAP1	1
TP53	TRIM22	1
TP53	TSC2	1
TP53	TRPM2	-1
MIR17HG	BCL2	-1
COPS2_COPS3_COPS4_COPS5_COPS6_COPS7A_COPS7B_GPS1	NEDD8	1
AKT1	ITPR1	-1
GAPDH	APEX1	1
CAMKK1	CRMP1	1
GAPDH	POU2F1	1
POU2F1	H2BC11	1
SFPQ	NONO	1
NONO	TOP1	1
CUL4A_DDB1_DDB2_RBX1	XPC	1
APLF	PARP1	1
JUN	PPM1D	1
